تاريخ النشر,اليوم,نوع المحتوى,المحتوى,ملاحظات
السبت 3 مايو,السبت,تعريفي,"السلام عليكم جميعاً
أنا أيمن الفيفي، من الرياض. متخصص في الإدارة العامة والمكتبية.
عندي ماجستير إدارة عامة من جامعة الملك عبدالعزيز، ورخصة PMP في إدارة المشاريع، إضافة لدورات في الذكاء الاصطناعي من سدايا.
أبحث عن فرصة عمل في المجال الإداري بالرياض.
حاب أشارككم هنا نقاشات وتجارب عن بيئة العمل والتطوير المهني.
تفضلوا بالتواصل، وأي فرصة أو اقتراح أستفيد منكم.",اول منشور
الاثنين 5 مايو,الاثنين,نصيحة,"من أشهر المشاكل اللي تواجه أي مكتب إداري: فوضى الملفات.
تجي تدور ورقة مهمة وتلاقي نفسك تقلب مجلد ورا مجلد، وبالنهاية تضطر تسوي الوثيقة من جديد.
الحل اللي جربته ونجح معي: نظام ترقين واضح لكل وثيقة. رقم تسلسلي + تاريخ + اسم القسم + نوع الوثيقة.
مثال: ADM-FIN-2025-047 = إدارة - مالية - 2025 - وثيقة رقم 47
الطريقة هذي خلّت أي شخص في المؤسسة يلقى أي ملف خلال دقيقة.
هل عندكم طريقة ثانية أحسن؟"
الاربعاء 7 مايو,الاربعاء,رأي,"خلصت مؤخراً دورة Advanced AI Concepts and Applications من سدايا.
اللي غيّر تفكيري تماماً: إن الذكاء الاصطناعي مو تخصص تقني، هو أداة زي الإكسل بالضبط.
تخيل لو أحد قالك ما أحتاج أتعلم إكسل لأنه برنامج تقني! نفس الشي مع AI.
اللي يتعامل مع تقارير وبيانات وجداول يومياً لازم يفهم كيف AI يختصر عليه الوقت.
أنا جربت أدوات AI في تلخيص تقارير طويلة وتنظيم بيانات، وفرّتني ساعات من العمل اليدوي.
أنتم جربتوا شي مشابه؟"
الجمعة 9 مايو,الجمعة,رأي,"في كل مكان اشتغلت فيه، لاحظت إن المؤسسة اللي فيها إداري كفو يشتغل ورا الكواليس تشتغل بسلاسة.
والإداري اللي ما يشتغل صح يخلي الكل يعاني من غير ما يحس أحد وين المشكلة بالضبط.
الموضوع كله يرجع لشيء واحد: النظام.
نظام في المواعيد، نظام في التوثيق، نظام في التواصل بين الأقسام.
الإدارة هي الأساس اللي عليه يبني كل قسم عمله.
أشوف كثير يستقلون هالدور، بس الواقع إن بدونه المؤسسة كلها تتأثر.",منشور يبرز قيمة تخصصك
السبت 10 مايو,السبت,سؤال,"من أكثر الأشياء اللي علّمتني إياها تجربة العمل: إنك ما تخلص مهمة إلا وتلقى ثلاث مهام ثانية تنتظرك.
الحل اللي اشتغل معي: كل يوم أحدد ثلاث مهام فقط هي الأهم، وأبدأ فيها قبل أي شيء ثاني.
الباقي أرتبه حسب الأولوية، بس الثلاث هذي لازم يخلصوا اليوم نفسه.
جربت هالطريقة من فترة وصرت أنجز أكثر رغم إن شغلي نفس الكمية.
أنتم كيف تتعاملون مع ضغط المهام؟",سؤال يولد تفاعل حقيقي
الاثنين 12 مايو,الاثنين,نصيحة,"كثرت الاجتماعات اللي تاخذ وقت طويل وبالنهاية ما يطلع منها شيء.
من التجربة: الاجتماع الناجح يحتاج ثلاثة أشياء فقط.
الأول: جدول أعمال واضح يرسل قبل الاجتماع. اللي ما يعرف وش بيطرح ما يحضر بشكل صحيح.
الثاني: التزام بالوقت. نصف ساعة كافية لأغلب الاجتماعات لو الواحد organizes أفكاره.
الثالث: محضر اجتماع يرسل خلال نفس اليوم. اللي ما يوثّق كأنه ما صار.
جربنا هالطريقة في شغل سابق وكانت اجتماعاتنا ما تتجاوز 20 دقيقة."
الاربعاء 14 مايو,الاربعاء,مقال,"كثير من الزملاء يسألني: ليش إداري يتعلم ذكاء اصطناعي؟
الإجابة اللي ألقّنها لنفسي: لأن هالأدوات صارت جزء من بيئة العمل سواء حبينا أو ما حبينا.
مو معقول إنك تكتب تقرير من عشر صفحات وأنت تقدر تختصره بأداة AI في خمس دقائق وبعدين تعدله.
مو معقول ترتب بيانات يدوي وأنت تقدر تستخدم أدوات تحليل توفر عليك ساعتين.
اللي يتعلم هالأدوات مو بس يختصر وقته، يرفع قيمته في السوق.
أنا بدأت بدورات سدايا والحمدلله غيّرت طريقة تعاملي مع المهام الإدارية بشكل كبير.
أنتم كيف تشوفون هالموضوع؟",يربط مجالك بالتقنية
الجمعة 16 مايو,الجمعة,اقتباس,"قرأت مرة لبيتر دراكر: الإدارة هي أن تفعل الأشياء بشكل صحيح، والقيادة هي أن تفعل الأشياء الصحيحة.
الكلمة هذي دايماً تذكرني إن الإداري المحترف لازم يكون منظم ويعرف ينسق بس بنفس الوقت لازم يفهم ليش يسوي اللي يسويه.
مو بس ينفذ أوامر، يفكر في الأولويات ويختار الشي الصح.
فرق بين موظف يسوي اللي يقال له بس، وموظف يفهم الصورة الكبيرة ويصحّح المسار لو لزم.",اقتباس مع رأي شخصي
السبت 17 مايو,السبت,قائمة,"من الأدوات اللي ما أقدر أشتغل بدونها:
Teams: التواصل السريع والاجتماعات، أوفر من الإيميلات الطويلة ذهاب وإياب
SharePoint: مشاركة الملفات بين الأقسام بشكل منظم
Outlook: إدارة البريد بفلترات وقواعد توفر وقت كثير
Excel: مو بس جداول، أستخدمه في تحليل البيانات وعمل لوحات متابعة
OneNote: أحسن مكان لتدوين الملاحظات السريعة قبل ما تنسى
كل أداة لها دورها، واللي يوظفها صح يوفر نصف يومه على أقل تقدير.
وش أضيفون من عندكم؟"
الاثنين 19 مايو,الاثنين,رخصة,"رخصة PMP غيّرت طريقة أفكر فيها في الشغل.
قبلها كنت أنظر للمهام كمهام منفصلة: تقرب هنا، أرتب هناك، أرد على الإيميل، أنسق اجتماع.
بعدها صرت أشوف كل شي كـ مشروع: له بداية ونهاية ومهام وأطراف ومخاطر محتملة.
الشي اللي ما كنت أتوقعه: إن أساسيات إدارة المشاريع تنفع في أي عمل إداري يومي.
التخطيط، المتابعة، التواصل بين الأطراف، توقع المشاكل قبل ما تصير.. كلها من أساسيات PM.
لو تفكرون تاخذون الرخصة أنصحكم فيها بقوة، خصوصاً إنها معترف بها عالمياً.",صورة الرخصة
الاربعاء 21 مايو,الاربعاء,تجربة,"أول وظيفة لي كانت كاتب إداري في شركة إنشاءات مستشفيات.
كانت أصعب سنة في حياتي المهنية وأكثر سنة تعلمت فيها.
سبب الصعوبة: أكتب تقارير وتوثيقات بالعربي والانجليزي، وأنسّق بين أقسام كثيرة كل واحد عنده أولويات مختلفة، وأتعامل مع مشاريع ضخمة أي خطأ في التوثيق يكلف كثير.
اللي تعلمته: الدقة في التوثيق مو رفاهية، هي ضرورة. والتنسيق بين الأقسام يحتاج صبر ومهارة تواصل أكثر من أي مؤهل ثاني.
وأهم درس: لو ما وثّقته كأنه ما صار.
هل مرت عليكم تجربة عمل غيّرت نظرتكم للشغل؟",تجربة حقيقية
